Time,Lane 1 Flow (Veh/h),Lane 2 Flow (Veh/h),Lane 3 Flow (Veh/h),Lane 4 Flow (Veh/h),Lane 1 Speed (km/h),Lane 2 Speed (km/h),Lane 3 Speed (km/h),Lane 4 Speed (km/h),Lane 1 Occ (%),Lane 2 Occ (%),Lane 3 Occ (%),Lane 4 Occ (%),Week
00:00,344.0,597.0,642.0,441.0,116.51,108.83,109.41,103.26,1.7,3.3,3.7,2.7,7.0
00:05,248.0,449.0,568.0,350.0,116.13,107.93,109.65,102.23,1.3,2.4,3.3,2.1,7.0
00:10,273.0,509.0,511.0,271.0,122.22,110.94,108.67,100.5,1.4,2.7,2.9,1.6,7.0
00:15,244.0,470.0,531.0,318.0,119.97,113.53,109.63,93.86,1.3,2.4,3.0,2.1,7.0
00:20,259.0,434.0,505.0,350.0,121.49,110.5,112.95,103.93,1.3,2.7,2.7,2.0,7.0
00:25,245.0,421.0,593.0,279.0,120.37,106.66,113.11,100.2,1.4,2.6,3.3,2.1,7.0
00:30,254.0,460.0,460.0,373.0,118.73,107.81,107.76,98.63,1.3,2.6,2.7,2.3,7.0
00:35,229.0,424.0,459.0,269.0,118.3,110.16,107.18,102.68,1.4,2.6,3.0,1.8,7.0
00:40,191.0,346.0,430.0,253.0,116.88,108.93,109.1,97.53,1.2,2.4,2.4,1.6,7.0
00:45,191.0,322.0,564.0,280.0,117.43,113.13,106.88,100.01,1.1,2.1,3.2,1.6,7.0
00:50,252.0,471.0,455.0,442.0,118.17,108.14,112.25,100.7,1.3,3.0,2.5,2.7,7.0
00:55,193.0,333.0,497.0,282.0,118.79,108.94,112.59,105.31,1.1,1.9,2.8,1.7,7.0
01:00,164.0,295.0,433.0,248.0,115.53,108.21,106.83,101.33,1.0,1.9,2.5,1.5,7.0
01:05,230.0,268.0,432.0,157.0,119.23,111.27,106.53,102.17,1.0,1.8,2.5,1.1,7.0
01:10,171.0,327.0,416.0,286.0,112.27,106.91,108.03,101.47,1.0,1.8,2.4,1.7,7.0
01:15,166.0,316.0,376.0,258.0,116.39,106.74,108.71,99.69,1.0,1.9,2.3,1.7,7.0
01:20,101.0,239.0,235.0,213.0,124.65,103.91,111.78,100.59,0.5,1.3,1.3,1.3,7.0
01:25,166.0,277.0,402.0,220.0,125.46,114.96,107.48,103.98,0.9,1.6,2.3,1.3,7.0
01:30,156.0,313.0,411.0,242.0,118.06,106.27,107.46,103.38,0.9,1.7,2.3,1.4,7.0
